Date,Kind,Model,Max Mode,Input (w/ Cache Write),Input (w/o Cache Write),Cache Read,Output Tokens,Total Tokens,Cost
"2025-10-23T04:53:13.121Z","pro-free-trial","auto","No","5145","386","345573","2372","353476","0.11"
"2025-10-23T04:49:47.144Z","pro-free-trial","auto","No","6820","418","247746","831","255815","0.08"
"2025-10-23T04:47:53.358Z","pro-free-trial","auto","No","5199","1777","403726","1883","412585","0.12"
"2025-10-23T04:46:20.737Z","pro-free-trial","auto","No","71605","405","167799","995","240804","0.14"
"2025-10-23T04:44:36.310Z","pro-free-trial","auto","No","68650","513","150321","1407","220891","0.13"
"2025-10-23T04:39:51.300Z","pro-free-trial","auto","No","6784","2624","359875","2535","371818","0.12"
"2025-10-23T04:39:38.329Z","Errored, Not Charged","auto","No","0","0","0","0","0","0.00"
"2025-10-23T04:35:15.281Z","pro-free-trial","auto","No","0","3724","0","639","4363","0.01"
"2025-10-23T04:27:49.269Z","pro-free-trial","auto","No","9567","1543","324827","3708","339645","0.12"
"2025-10-23T04:22:56.035Z","pro-free-trial","auto","No","54957","1215","196966","1738","254876","0.13"
"2025-10-23T04:18:40.868Z","pro-free-trial","auto","No","52266","980","716260","2664","772170","0.26"
"2025-10-23T04:16:59.607Z","pro-free-trial","auto","No","45162","534","10195","830","56721","0.06"
"2025-10-23T04:09:15.043Z","pro-free-trial","auto","No","7880","15978","397636","2505","423999","0.14"
"2025-10-23T04:04:00.666Z","pro-free-trial","auto","No","8410","24169","444265","4795","481639","0.18"
"2025-10-23T04:01:03.884Z","pro-free-trial","auto","No","33854","8806","242970","2939","288569","0.13"
"2025-10-23T03:54:36.312Z","pro-free-trial","auto","No","15432","7668","246324","3256","272680","0.11"
"2025-10-23T03:50:07.973Z","pro-free-trial","auto","No","25014","24296","272044","3610","324964","0.15"
"2025-10-23T03:49:10.481Z","pro-free-trial","auto","No","5607","232","20071","1497","27407","0.02"
"2025-10-23T03:47:22.248Z","pro-free-trial","auto","No","10602","5443","30267","683","46995","0.03"
"2025-10-23T03:36:06.332Z","pro-free-trial","auto","No","9456","11864","100524","2517","124361","0.07"
"2025-10-23T03:35:12.668Z","pro-free-trial","auto","No","1168","225","12687","939","15019","0.01"
"2025-10-23T03:34:14.517Z","pro-free-trial","auto","No","2832","972","22883","909","27596","0.02"
"2025-10-23T03:25:28.668Z","pro-free-trial","auto","No","5065","2618","107875","900","116458","0.04"
"2025-10-23T03:24:17.214Z","pro-free-trial","auto","No","8612","6780","231871","2340","249603","0.09"
"2025-10-23T03:21:13.350Z","pro-free-trial","auto","No","7034","6930","168317","2670","184951","0.08"
"2025-10-23T03:18:00.652Z","pro-free-trial","auto","No","15249","7830","106570","1346","130995","0.06"
"2025-10-23T03:15:35.554Z","pro-free-trial","auto","No","8775","10905","116514","3068","139262","0.07"
"2025-10-23T03:13:35.722Z","pro-free-trial","auto","No","5228","4267","51627","1465","62587","0.03"
"2025-10-23T03:10:10.752Z","pro-free-trial","auto","No","2881","1599","13617","612","18709","0.01"
"2025-10-23T03:05:52.151Z","pro-free-trial","auto","No","2040","3603","52489","1311","59443","0.03"
"2025-10-23T02:59:38.026Z","pro-free-trial","auto","No","4570","3324","118091","872","126857","0.04"
"2025-10-23T02:58:04.187Z","pro-free-trial","auto","No","3891","6343","109439","1652","121325","0.05"
"2025-10-23T02:55:01.989Z","pro-free-trial","auto","No","4934","5245","100730","1364","112273","0.05"
"2025-10-23T02:53:33.943Z","pro-free-trial","auto","No","25212","6258","138582","1633","171685","0.08"
"2025-10-23T02:50:49.367Z","pro-free-trial","auto","No","21537","17544","247969","3917","290967","0.13"
"2025-10-23T02:48:27.129Z","pro-free-trial","auto","No","463","4899","41103","1421","47886","0.03"
"2025-10-23T02:45:29.302Z","pro-free-trial","auto","No","0","0","0","0","0","0.00"
"2025-10-23T02:41:54.087Z","pro-free-trial","auto","No","9897","1128","29106","691","40822","0.03"
"2025-10-23T02:34:15.852Z","pro-free-trial","auto","No","3795","4879","61275","911","70860","0.03"
"2025-10-23T02:32:12.605Z","pro-free-trial","auto","No","2538","2676","50774","887","56875","0.02"
"2025-10-23T02:28:29.261Z","pro-free-trial","auto","No","2719","2919","32043","1018","38699","0.02"
"2025-10-23T02:22:02.888Z","pro-free-trial","auto","No","1249","962","40170","959","43340","0.02"
"2025-10-23T02:10:30.951Z","pro-free-trial","auto","No","15533","12853","82591","3231","114208","0.08"
"2025-10-23T02:02:11.566Z","pro-free-trial","auto","No","4604","8536","102321","1500","116961","0.05"
"2025-10-23T02:00:19.719Z","pro-free-trial","auto","No","8252","20009","148074","2282","178617","0.09"
"2025-10-23T01:54:48.803Z","pro-free-trial","auto","No","7532","269","41104","744","49649","0.02"
"2025-10-23T01:53:28.081Z","pro-free-trial","auto","No","1684","2668","40865","759","45976","0.02"
"2025-10-23T01:51:18.864Z","pro-free-trial","auto","No","2388","3612","35109","1043","42152","0.02"
"2025-10-23T01:49:24.207Z","pro-free-trial","auto","No","1468","4474","50902","1466","58310","0.03"
"2025-10-22T21:24:11.988Z","pro-free-trial","auto","No","6972","7040","110474","3503","127989","0.07"
"2025-10-22T21:23:14.019Z","pro-free-trial","auto","No","1715","3287","49058","1820","55880","0.03"
"2025-10-22T21:21:37.326Z","pro-free-trial","auto","No","1577","3199","49058","1650","55484","0.03"
"2025-10-22T21:20:15.712Z","pro-free-trial","auto","No","4073","4493","98748","2385","109699","0.05"
"2025-10-22T21:18:12.181Z","pro-free-trial","auto","No","0","4140","0","276","4416","0.01"
"2025-10-22T21:17:25.227Z","pro-free-trial","auto","No","14289","1313","32852","498","48952","0.03"
"2025-10-22T20:12:39.796Z","pro-free-trial","auto","No","12339","1574","31217","841","45971","0.03"
"2025-10-22T17:16:15.930Z","pro-free-trial","auto","No","9476","2620","28467","1600","42163","0.03"
"2025-10-22T17:08:52.878Z","pro-free-trial","auto","No","9125","7085","48634","2239","67083","0.05"
"2025-10-22T16:55:39.993Z","free","auto","No","0","720","2560","564","3844","0.005"
"2025-10-22T16:55:13.937Z","free","auto","No","0","2773","0","447","3220","0.01"
"2025-10-21T18:08:53.937Z","free","auto","No","0","6556","20128","630","27314","0.02"
"2025-10-21T18:07:19.421Z","free","auto","No","0","8329","43168","1625","53122","0.03"
"2025-10-21T18:05:23.279Z","free","auto","No","0","3615","23712","980","28307","0.02"
"2025-10-21T18:04:26.701Z","free","auto","No","0","8661","54112","1791","64564","0.04"
"2025-10-21T18:02:19.727Z","free","auto","No","0","10518","23872","778","35168","0.02"
"2025-10-21T18:00:58.012Z","free","auto","No","0","5725","70048","1104","76877","0.03"
"2025-10-21T17:58:36.103Z","free","auto","No","0","6667","20096","680","27443","0.02"
"2025-10-21T17:36:34.473Z","free","auto","No","0","8652","42784","1743","53179","0.03"
"2025-10-21T17:36:09.784Z","free","auto","No","0","58104","7136","90","65330","0.07"
"2025-10-21T17:33:56.393Z","free","auto","No","0","1593","0","207","1800","0.003"
"2025-10-21T17:13:45.341Z","free","auto","No","0","1993","0","162","2155","0.003"
"2025-10-21T17:13:08.498Z","free","auto","No","0","1801","0","159","1960","0.003"
"2025-10-20T20:01:33.757Z","free","auto","No","0","42245","177152","1672","221069","0.11"
